qindex,ASSIM-N_I,ASSIM_I,MADDA_I,SHAMS_I,MIN-W_I,MIN-Y_I,P_SIL_I,SIL_I,SAKT_I,ASSIM-M_B,ASSIM-N_B,ASSIM_B,MADDA_B,CLIT-H_B,MIN-Y_B,SIL_B
3:154:71,1,0,1,5,0,0,0,3,0,0,2,0,0,0,0,0
3:156:5,1,0,0,3,0,0,0,8,0,0,2,0,0,0,1,0
3:156:35,1,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0
3:159:7,3,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0
3:160:7,1,0,0,1,0,0,0,0,0,1,6,0,0,1,0,0
3:161:19,1,0,1,5,0,0,0,0,0,0,3,0,0,0,0,0
3:164:7,1,0,0,0,0,0,0,2,0,2,5,0,1,1,0,0
3:165:12,2,0,0,3,0,0,0,4,0,0,2,0,1,0,0,0
3:167:13,0,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0
3:168:10,3,0,1,2,0,0,0,3,0,0,3,0,1,1,0,0
3:170:11,0,0,0,3,0,0,0,1,0,1,3,0,1,0,0,0
3:172:11,1,0,1,4,0,0,0,5,0,0,4,0,0,0,0,0
3:174:9,2,0,1,4,0,0,0,2,0,1,3,0,0,1,0,0
3:176:13,0,0,0,2,0,0,0,2,0,0,5,0,1,0,0,1
3:178:9,2,0,0,3,0,0,0,1,0,0,3,0,2,0,0,0
3:179:22,0,0,1,3,0,0,0,3,0,1,7,0,1,3,0,0
3:180:16,0,0,1,4,0,0,0,3,0,0,2,0,1,1,0,0
3:181:16,1,0,1,3,0,0,0,2,0,0,3,0,2,0,0,0
3:183:15,1,0,3,1,0,0,0,0,0,0,7,0,0,0,0,0
3:185:5,1,0,0,2,0,0,0,1,0,0,2,0,2,0,0,0
3:186:12,0,0,1,2,0,0,0,5,0,0,4,0,1,3,0,0
3:187:18,0,0,0,2,0,0,0,3,0,1,4,1,1,0,0,0
3:189:7,0,0,0,4,0,0,0,1,0,0,4,0,0,0,0,0
3:191:17,1,0,0,3,0,0,0,1,0,0,4,0,2,1,0,0
3:193:15,1,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0
3:195:11,2,0,0,2,0,0,0,5,0,1,6,0,0,0,0,0
3:195:41,1,0,0,1,0,0,0,2,0,0,5,0,0,1,0,0
3:198:14,4,0,1,4,0,0,0,1,0,0,3,0,2,0,0,0
3:199:23,1,0,2,6,0,0,0,6,0,1,1,0,0,0,0,0
4:1:12,0,0,2,3,0,0,0,3,0,0,6,0,1,1,0,0
4:2:9,1,0,1,1,0,0,0,4,0,1,2,0,2,1,0,0
4:3:23,0,0,4,3,0,0,0,3,0,0,8,0,1,0,0,0
4:5:11,0,0,0,1,0,0,0,5,0,1,8,0,3,0,0,0
4:6:25,0,0,1,3,0,0,0,1,0,0,4,0,0,0,0,0
4:7:18,0,0,0,1,0,0,0,7,0,1,6,0,0,0,0,0
4:10:1,1,0,1,2,0,0,0,0,0,0,4,0,1,0,0,0
4:11:18,0,0,0,3,0,0,0,0,0,0,10,0,2,4,0,0
4:11:48,0,0,2,3,0,0,0,0,0,0,5,0,1,0,0,0
4:12:7,0,0,0,2,0,0,0,0,0,0,12,0,1,0,0,0
4:12:37,0,0,0,2,0,0,0,0,0,1,10,0,2,1,0,0
4:12:67,0,0,2,5,0,0,0,1,0,0,6,0,2,1,0,0
4:13:9,0,0,1,1,0,0,0,1,0,0,7,0,0,3,0,0
4:15:8,2,0,0,2,0,0,0,2,0,0,5,0,1,0,0,0
4:17:2,0,0,2,7,0,0,0,1,0,0,4,0,1,0,0,0
4:18:12,0,0,3,1,0,0,0,4,0,0,3,0,2,0,0,0
4:19:18,1,1,0,1,0,0,0,2,0,0,11,0,1,0,0,0
4:20:13,2,0,2,1,0,0,0,1,0,2,6,0,0,3,0,0
4:22:15,0,0,4,1,0,0,0,0,0,3,2,0,1,0,0,0
4:23:28,0,0,2,1,0,0,0,2,0,1,4,0,0,0,0,0
